longitude,latitude
[ 8.84303951],[ 47.60525894]
[ 8.84306335],[ 47.60525513]
[ 8.84309101],[ 47.60525894]
[ 8.84311485],[ 47.6052475]
[ 8.84311295],[ 47.60524368]
[ 8.84311199],[ 47.60524368]
[ 8.84313107],[ 47.60522842]
[ 8.84311676],[ 47.60521317]
[ 8.84309864],[ 47.60522842]
[ 8.84309864],[ 47.60523224]
[ 8.84308338],[ 47.60523987]
[ 8.84304619],[ 47.60523987]
[ 8.84302902],[ 47.60522842]
[ 8.84303379],[ 47.60522461]
[ 8.84304237],[ 47.60521317]
[ 8.84305382],[ 47.60520554]
[ 8.84306717],[ 47.60520172]
[ 8.84307671],[ 47.60519028]
[ 8.84307861],[ 47.60519409]
[ 8.8430748],[ 47.60520554]
[ 8.84307384],[ 47.60520554]
[ 8.84307289],[ 47.60521317]
[ 8.84307289],[ 47.60522461]
[ 8.8430872],[ 47.60523224]
[ 8.84309006],[ 47.60526657]
[ 8.84307098],[ 47.60528183]
[ 8.76090908],[ 47.7153244]
[ 8.78040028],[ 47.75259018]
[ 8.69621086],[ 47.91655731]
[ 4.56230831],[ 23.60915947]
[ 6.61657333],[ 35.92489243]
[ 7.76503992],[ 41.65167999]
[ 8.31627846],[ 44.66556168]
[ 8.58896923],[ 46.14711761]
[ 8.72846985],[ 46.88134384]
[ 8.78970337],[ 47.24188232]
[ 8.81692505],[ 47.42336273]
[ 8.83012009],[ 47.51416397]
[ 8.83665276],[ 47.55970764]
[ 8.83984852],[ 47.58248138]
[ 8.84143829],[ 47.59389496]
[ 8.8422451],[ 47.59958649]
[ 8.84265041],[ 47.60240936]
[ 8.84284401],[ 47.60380936]
[ 8.84294605],[ 47.60450745]
[ 8.84300518],[ 47.60485077]
[ 8.84302425],[ 47.60501862]
[ 8.84303284],[ 47.60511398]
[ 8.84304142],[ 47.60515594]
[ 8.84305],[ 47.60519028]
[ 8.84305859],[ 47.60520554]
[ 8.84306335],[ 47.60520554]
[ 8.84305763],[ 47.60520172]
[ 8.84306908],[ 47.60520172]
[ 8.84307766],[ 47.60520935]
[ 8.84305096],[ 47.60522079]
[ 8.84300613],[ 47.6052475]
[ 8.84300804],[ 47.6052475]
[ 8.84301949],[ 47.60524368]
[ 8.84302044],[ 47.6052475]
[ 8.84300232],[ 47.6052475]
[ 8.84299278],[ 47.60525131]
[ 8.84301186],[ 47.60523987]
[ 8.84303474],[ 47.60524368]
[ 8.84305],[ 47.60523605]
[ 8.84305954],[ 47.60523605]
[ 8.84307194],[ 47.60523224]
[ 8.84308815],[ 47.60522842]
[ 8.8430748],[ 47.60523224]
[ 8.84305763],[ 47.60523987]
[ 8.84305191],[ 47.60523987]
[ 8.84306049],[ 47.60522842]
[ 8.8430748],[ 47.60522079]
[ 8.84307861],[ 47.60522842]
[ 8.84307289],[ 47.60524368]
[ 8.84307861],[ 47.60525894]
[ 8.84310532],[ 47.60528946]
[ 8.84311008],[ 47.60528183]
[ 8.84307957],[ 47.60526657]
[ 8.84307384],[ 47.60525513]
[ 8.84310532],[ 47.60527039]
[ 8.84311008],[ 47.60526276]
[ 8.84310818],[ 47.60523605]
[ 8.84310722],[ 47.60521698]
[ 8.84309578],[ 47.60520935]
[ 8.84309578],[ 47.60520554]
[ 8.8431015],[ 47.60519791]
[ 8.8431263],[ 47.60518646]
[ 8.84317017],[ 47.6051445]
[ 8.84317875],[ 47.60514832]
[ 8.84314632],[ 47.60517502]
[ 8.84312057],[ 47.60520935]
[ 8.84312344],[ 47.60523605]
[ 8.84312725],[ 47.60523605]
[ 8.84311008],[ 47.60522461]
[ 8.84310341],[ 47.60521317]
[ 8.8431139],[ 47.60522842]
[ 8.84313869],[ 47.6052475]
[ 8.84315586],[ 47.60530853]
[ 8.84318256],[ 47.60533905]
[ 8.84317493],[ 47.60530472]
[ 8.84313583],[ 47.60525513]
[ 8.84309196],[ 47.60522842]
[ 8.84305191],[ 47.60521698]
[ 8.84303665],[ 47.60520935]
[ 8.84302998],[ 47.60523224]
[ 8.84301662],[ 47.60523605]
[ 8.84300232],[ 47.60522461]
[ 8.84300137],[ 47.60519028]
[ 8.84299374],[ 47.60513687]
[ 8.84301281],[ 47.60512543]
[ 8.84303188],[ 47.60517502]
[ 8.84303951],[ 47.60520935]
[ 8.84305191],[ 47.60523605]
[ 8.84307957],[ 47.60525513]
[ 8.84307957],[ 47.60526276]
[ 8.84307003],[ 47.60526276]
[ 8.84307194],[ 47.60527039]
[ 8.84307289],[ 47.60526276]
[ 8.84307003],[ 47.60525131]
[ 8.84307003],[ 47.6052475]
[ 8.84306717],[ 47.60523224]
[ 8.84305286],[ 47.60522842]
[ 8.84303951],[ 47.60522842]
[ 8.84302139],[ 47.60523605]
[ 8.84294415],[ 47.6052475]
[ 8.84296417],[ 47.60525513]
[ 8.84302807],[ 47.60528183]
[ 8.84307384],[ 47.60528564]
[ 8.84308815],[ 47.60527039]
[ 8.84307861],[ 47.60526657]
[ 8.84307194],[ 47.60525131]
[ 8.84307194],[ 47.60523224]
[ 8.84307003],[ 47.60521698]
[ 8.8430624],[ 47.60519791]
[ 8.84305096],[ 47.60518265]
[ 8.84304142],[ 47.60518265]
[ 8.84303856],[ 47.60519028]
[ 8.84302425],[ 47.60518646]
[ 8.84301281],[ 47.60516357]
[ 8.84302425],[ 47.60514069]
[ 8.84304333],[ 47.6051178]
[ 8.84304142],[ 47.60507584]
[ 8.84304523],[ 47.60503769]
[ 8.84308147],[ 47.60509109]
[ 8.8431015],[ 47.60516357]
[ 8.84311676],[ 47.60520935]
[ 8.84310246],[ 47.60523224]
[ 8.84307861],[ 47.60526276]
[ 8.84306145],[ 47.60524368]
[ 8.84306049],[ 47.60522079]
[ 8.84306908],[ 47.60521317]
[ 8.84307957],[ 47.60520554]
[ 8.8430891],[ 47.60520554]
[ 8.84309101],[ 47.60520172]
[ 8.84310436],[ 47.60520935]
[ 8.84312725],[ 47.60521698]
[ 8.84312344],[ 47.60520554]
[ 8.84309483],[ 47.60520935]
[ 8.84307957],[ 47.60520554]
[ 8.84309196],[ 47.60520554]
[ 8.84309673],[ 47.60520172]
[ 8.8431015],[ 47.60518265]
[ 8.84309387],[ 47.60515594]
[ 8.84307098],[ 47.60510635]
[ 8.84305763],[ 47.60502625]
[ 8.84305096],[ 47.6050148]
[ 8.84305191],[ 47.60509872]
[ 8.84304619],[ 47.60513306]
[ 8.84303284],[ 47.60514069]
[ 8.84304523],[ 47.60515594]
[ 8.84305382],[ 47.60516357]
[ 8.84305191],[ 47.60514832]
[ 8.84305],[ 47.6051445]
[ 8.84304142],[ 47.60513687]
[ 8.84304142],[ 47.60513306]
[ 8.84304047],[ 47.60512543]
[ 8.84305191],[ 47.60511398]
[ 8.84306622],[ 47.60508347]
