longitude,latitude
[ 8.93880749],[ 47.74669266]
[ 8.93887424],[ 47.74671555]
[ 8.93891811],[ 47.74671936]
[ 8.93893909],[ 47.74668503]
[ 8.93915176],[ 47.74668503]
[ 8.93874264],[ 47.74657822]
[ 8.93817043],[ 47.74657822]
[ 8.93859863],[ 47.74685287]
[ 8.93902111],[ 47.74672699]
[ 8.93901825],[ 47.74655914]
[ 8.93900967],[ 47.74666595]
[ 8.93898964],[ 47.74665451]
[ 8.93897724],[ 47.74665451]
[ 8.93899727],[ 47.74662781]
[ 8.93905735],[ 47.74658966]
[ 8.93899918],[ 47.74653244]
[ 8.93891621],[ 47.74650574]
[ 8.93915176],[ 47.74660492]
[ 8.93908691],[ 47.74662399]
[ 8.93902969],[ 47.74664307]
[ 8.93909264],[ 47.74677658]
[ 8.93902683],[ 47.74670792]
[ 8.93900585],[ 47.74674225]
[ 8.939147],[ 47.74672318]
[ 8.93903446],[ 47.74667358]
[ 8.93900299],[ 47.74666214]
[ 8.93908787],[ 47.74673462]
[ 8.9390564],[ 47.74666214]
[ 8.9390831],[ 47.74669647]
[ 8.93901348],[ 47.74668884]
[ 8.90815353],[ 47.74549103]
[ 8.94083309],[ 47.75924301]
[ 8.95907402],[ 47.75479126]
[ 8.92773533],[ 47.74395752]
[ 8.93488026],[ 47.75211334]
[ 8.93884754],[ 47.74658966]
[ 8.93881416],[ 47.74652863]
[ 8.93873119],[ 47.74644089]
[ 8.93873501],[ 47.74641037]
[ 8.93873978],[ 47.74638367]
[ 8.93873978],[ 47.74647141]
[ 8.93872452],[ 47.74650192]
[ 8.9387207],[ 47.746521]
[ 8.93872643],[ 47.74652481]
[ 8.93873882],[ 47.74653625]
[ 8.93875313],[ 47.74652481]
[ 8.93870163],[ 47.74650955]
[ 8.93871784],[ 47.74651337]
[ 8.9387579],[ 47.74651718]
[ 8.93874264],[ 47.74648285]
[ 8.93872738],[ 47.74646378]
[ 8.93874454],[ 47.74646378]
[ 8.93880558],[ 47.74649811]
[ 8.93881512],[ 47.74655151]
[ 8.93882084],[ 47.74658203]
[ 8.93882847],[ 47.74659729]
[ 8.93882751],[ 47.74660492]
[ 8.938797],[ 47.74662781]
[ 8.93883991],[ 47.74663925]
[ 8.93883514],[ 47.74665833]
[ 8.93881702],[ 47.74663544]
[ 8.93879318],[ 47.74665451]
[ 8.93881512],[ 47.74665451]
[ 8.93880463],[ 47.74669266]
[ 8.93873215],[ 47.74670029]
[ 8.93878078],[ 47.74671173]
[ 8.93875694],[ 47.74665451]
[ 8.93877316],[ 47.74662781]
[ 8.93881607],[ 47.74664307]
[ 8.93877316],[ 47.74660873]
[ 8.9388237],[ 47.74663925]
[ 8.93878174],[ 47.74660873]
[ 8.938694],[ 47.74657059]
[ 8.93885803],[ 47.7465744]
[ 8.93888092],[ 47.74650574]
[ 8.938797],[ 47.74644852]
[ 8.938694],[ 47.74645233]
[ 8.938797],[ 47.74651337]
[ 8.93881035],[ 47.74664688]
[ 8.93968296],[ 47.74674225]
[ 8.93925095],[ 47.74652863]
[ 8.93818665],[ 47.74624252]
[ 8.93836594],[ 47.74682617]
