longitude,latitude
[-5.98091459],[ 35.02125549]
[-5.98056221],[ 35.02109909]
[-5.98071527],[ 35.02102661]
[-5.98108244],[ 35.0210495]
[-5.98133564],[ 35.02112961]
[-5.98168325],[ 35.0211792]
[-5.98193359],[ 35.0212822]
[-5.98211622],[ 35.02131653]
[-5.9827733],[ 35.02165604]
[-5.98341703],[ 35.02192307]
[-5.98387098],[ 35.02203751]
[-5.98417282],[ 35.0221138]
[-5.9843626],[ 35.02209854]
[-5.98443937],[ 35.0219841]
[-5.98454905],[ 35.02188492]
[-5.98454523],[ 35.02186584]
[-5.98462152],[ 35.02180481]
[-5.98532677],[ 35.02191544]
[-5.98532963],[ 35.02157593]
[-5.98619604],[ 35.02093124]
[-5.98701048],[ 35.02154922]
[-5.9864049],[ 35.02103806]
[-5.98608732],[ 35.02160263]
[-5.9858408],[ 35.02171326]
[-5.98569345],[ 35.02186584]
[-5.98548603],[ 35.02191925]
[-5.98536301],[ 35.02196121]
[-5.98531008],[ 35.02204132]
[-5.9852972],[ 35.02215195]
[-5.98538113],[ 35.02231216]
[-5.985425],[ 35.02244186]
[-5.98542166],[ 35.02251053]
[-5.98555708],[ 35.02251053]
[-5.98569202],[ 35.02251816]
[-5.98570538],[ 35.02238464]
[-5.98577499],[ 35.02260971]
[-5.98567247],[ 35.02244186]
[-5.98572588],[ 35.0224762]
[-5.9857645],[ 35.0224762]
[-5.98585606],[ 35.02248383]
[-5.98664713],[ 35.02257538]
[-5.98720264],[ 35.02259827]
[-5.9875598],[ 35.02266312]
[-5.98784971],[ 35.02272034]
[-5.98802996],[ 35.02277374]
[-5.98812389],[ 35.02282333]
[-5.98817253],[ 35.02285767]
[-5.98815918],[ 35.02284241]
[-5.98816776],[ 35.02283859]
[-5.98816013],[ 35.02285767]
[-5.9881072],[ 35.02287292]
[-5.9881773],[ 35.02287292]
[-5.98809481],[ 35.02288055]
[-5.98804522],[ 35.02281952]
[-5.9883256],[ 35.02277374]
[-5.98767471],[ 35.02264023]
[-5.98812723],[ 35.02242279]
[-5.98867321],[ 35.02370071]
[-5.98815346],[ 35.02233124]
[-5.98769283],[ 35.02245712]
[-5.98854637],[ 35.02232742]
[-5.98887491],[ 35.02322388]
[-5.98857403],[ 35.02155304]
[-5.98929024],[ 35.02280045]
[-5.98926401],[ 35.02217484]
[-5.98920965],[ 35.02204514]
[-5.98889351],[ 35.02182007]
[-5.98866177],[ 35.02163696]
[-5.98862696],[ 35.02158737]
[-5.98858881],[ 35.02150726]
[-5.98857689],[ 35.02135849]
[-5.98871946],[ 35.02128601]
[-5.98893166],[ 35.0212059]
[-5.98897505],[ 35.02108765]
[-5.98876286],[ 35.02105713]
[-5.98838615],[ 35.02160645]
[-5.98763704],[ 35.02117157]
[-5.98482418],[ 35.01941299]
[-5.98070717],[ 35.01357269]
[-5.97765589],[ 35.00566483]
[-5.97592783],[ 35.00056076]
[-5.97500324],[ 34.99798965]
[-5.97460413],[ 34.99676514]
[-5.97443724],[ 34.99617767]
[-5.97435999],[ 34.99587631]
[-5.97455597],[ 34.99575806]
[-5.97441721],[ 34.99563599]
[-5.97424841],[ 34.99557877]
[-5.97418118],[ 34.99556351]
[-5.9741497],[ 34.99556732]
[-5.9741478],[ 34.99557495]
[-5.97424364],[ 34.99562073]
[-5.97429371],[ 34.99564362]
[-5.9743228],[ 34.99565887]
[-5.97428703],[ 34.99563217]
[-5.97424841],[ 34.99552536]
[-5.97422457],[ 34.99535751]
[-5.97426605],[ 34.99510956]
[-5.97428989],[ 34.99485779]
[-5.97429085],[ 34.99473953]
[-5.9742775],[ 34.99466324]
[-5.97429228],[ 34.99463272]
[-5.9742732],[ 34.99460602]
[-5.97426462],[ 34.99456024]
[-5.97432756],[ 34.99454117]
[-5.97437096],[ 34.99446487]
[-5.97436762],[ 34.99452591]
[-5.97427225],[ 34.99467468]
[-5.97433901],[ 34.99497223]
[-5.97438955],[ 34.99521255]
[-5.97422075],[ 34.99518585]
[-5.97428846],[ 34.99512482]
[-5.97425795],[ 34.99507904]
[-5.97417212],[ 34.99505615]
[-5.97410297],[ 34.99506378]
[-5.97426701],[ 34.99512482]
[-5.97413778],[ 34.99556351]
[-5.9745965],[ 34.99683762]
[-5.97602701],[ 35.0005722]
[-5.97537041],[ 35.00602722]
[-5.97820139],[ 35.01331329]
[-5.98083258],[ 35.01910019]
[-5.98198032],[ 35.02197647]
[-5.9828167],[ 35.02338028]
[-5.98334837],[ 35.0240593]
[-5.98374796],[ 35.02442169]
[-5.98394966],[ 35.02459335]
[-5.98405981],[ 35.02470779]
[-5.98425674],[ 35.02480698]
[-5.98420668],[ 35.02484894]
[-5.98406506],[ 35.02491379]
[-5.98411751],[ 35.02500153]
[-5.98393869],[ 35.02526093]
[-5.98382902],[ 35.02538681]
[-5.98373747],[ 35.02566147]
[-5.98354769],[ 35.02547073]
[-5.9837904],[ 35.02528381]
[-5.98425055],[ 35.02499771]
[-5.98393059],[ 35.02451706]
[-5.98432112],[ 35.024189]
[-5.98520041],[ 35.02531052]
[-5.98518515],[ 35.02472687]
[-5.98520994],[ 35.02474213]
[-5.98510313],[ 35.02471542]
[-5.98526049],[ 35.02472305]
[-5.98524618],[ 35.02489471]
[-5.98506546],[ 35.02453613]
[-5.98523045],[ 35.02480698]
[-5.98522329],[ 35.02480316]
[-5.98514462],[ 35.02467728]
[-5.98522806],[ 35.02478409]
[-5.98521662],[ 35.02482224]
[-5.98517656],[ 35.0247345]
[-5.98521614],[ 35.02483749]
[-5.98522997],[ 35.02480698]
[-5.98525095],[ 35.02477646]
[-5.98529768],[ 35.02469254]
[-5.98542404],[ 35.02472305]
[-5.98532581],[ 35.02460861]
[-5.98527527],[ 35.02451324]
[-5.98535633],[ 35.02465439]
[-5.99873638],[ 35.03940201]
[-5.99331474],[ 35.03474808]
[-5.97389507],[ 35.01756287]
[-6.00155401],[ 35.00947952]
[-5.99401569],[ 35.03297043]
[-5.98474264],[ 35.02466583]
[-5.98476887],[ 35.02462769]
[-5.98478556],[ 35.02464294]
[-5.98478508],[ 35.02464294]
