longitude,latitude
[ 8.84297657],[ 47.60536575]
[ 8.8429718],[ 47.60540009]
[ 8.84297085],[ 47.60541916]
[ 8.8429718],[ 47.60540009]
[ 8.84296513],[ 47.60538483]
[ 8.84295845],[ 47.60536575]
[ 8.84292316],[ 47.60535049]
[ 8.84287453],[ 47.60532761]
[ 8.84284019],[ 47.60531235]
[ 8.84281826],[ 47.60529709]
[ 8.84283447],[ 47.60530472]
[ 8.84286499],[ 47.60533905]
[ 8.84286404],[ 47.60537338]
[ 8.84286976],[ 47.60537338]
[ 8.84288692],[ 47.60536957]
[ 8.84288883],[ 47.60536575]
[ 8.8428793],[ 47.60537338]
[ 8.84288597],[ 47.60539627]
[ 8.842906],[ 47.60541534]
[ 8.84289646],[ 47.60541153]
[ 8.84291458],[ 47.60535812]
[ 8.84290791],[ 47.60533905]
[ 8.84286594],[ 47.60535431]
[ 8.84286213],[ 47.60536575]
[ 8.84289932],[ 47.6053772]
[ 8.84291935],[ 47.60537338]
[ 8.84293365],[ 47.60536957]
[ 8.84295654],[ 47.60535049]
[ 8.84295177],[ 47.60534668]
[ 8.84294987],[ 47.60535049]
[ 8.84293747],[ 47.60535431]
[ 8.84292698],[ 47.60535812]
[ 8.84294224],[ 47.60535812]
[ 8.84295082],[ 47.60535049]
[ 8.84294891],[ 47.60535812]
[ 8.84295559],[ 47.60536575]
[ 8.8429575],[ 47.60535812]
[ 8.84295273],[ 47.60533905]
[ 8.84294891],[ 47.60533905]
[ 8.84294987],[ 47.60533905]
[ 8.84295845],[ 47.60533905]
[ 8.84296417],[ 47.60533142]
[ 8.84296703],[ 47.60532379]
[ 8.84297276],[ 47.60530853]
[ 8.84297848],[ 47.60529709]
[ 8.84298897],[ 47.60529709]
[ 8.84298897],[ 47.60531616]
[ 8.84298992],[ 47.60533905]
[ 8.8429842],[ 47.60533524]
[ 8.84298229],[ 47.60531998]
[ 8.84296417],[ 47.60530853]
[ 8.84292984],[ 47.60529327]
[ 8.84293079],[ 47.60528564]
[ 8.84294891],[ 47.60530472]
[ 8.84295559],[ 47.60531998]
